,Title,Company,Location,Skills
0,Artificial Intelligence (AI),OmniNeura AI Technologies Pvt Ltd,Work from home,PythonMachine LearningNatural Language Processing (NLP)Deep Learning
1,Technical Support,Tech Analogy,Ahmedabad,MATLABOpenCVSolidWorksClient InteractionMachine LearningTechnical SupportClient Relationship+4 more
2,Data Annotation,RoadVision AI Private Limited,South,Data InterpretationData Annotation
3,Data Science,Zoop Live,Delhi,PythonMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligenceNumPy+1 more
4,Data Science,Tradexa Technologies Private Limited,Pune,PythonSQLAlgorithmsData StructuresData AnalyticsStatistical ModelingGit+2 more
5,Data Science,Emoolar Technology Private Limited,Work from home,PythonMachine LearningData ScienceArtificial intelligence
6,Agentic RAG Tools And Applications Development,FrugalX (Frugal Explorations Foundation),Work from home,JavaScriptTypeScript
7,Data Science,Mindenious Edutech,Work from home,PythonSQLData AnalyticsMachine LearningData ScienceDeep Learning
8,Artificial Intelligence For Biotech For Climate (A4B4C),Energy Alternatives India,Chennai,BiologyMachine LearningBioinformaticsMicrobiological TechniquesNeural NetworksBusiness ResearchArtificial intelligence+1 more
9,Full Stack Development,NDL Power Limited,Work from home,PythonASP.NETMachine LearningNode.jsMS SQL ServerAutomationReact+5 more
11,Data Science,"Mekari (Jakarta, Indonesia)",Work from home,PythonSQLData AnalyticsMachine LearningData entryData ScienceNatural Language Processing (NLP)+4 more
12,Devops Engineer,Techdome Solutions Private Limited,"Indore, Hyderabad",LinuxMachine LearningJenkinsAnsibleKubernetesCI/CDTerraform+3 more
13,"Producers Assistant Residency Program: Founders Office - Research, Development And Operations (Hollywood Film)",Continuum Media,Mumbai,MS-OfficeContent WritingPythonAdobe IllustratorSQLAdobe Creative SuiteMachine Learning+7 more
14,Technical Content Curation,Tech Analogy,Ahmedabad,Content WritingOpenCVPythonSolidWorksARM MicrocontrollerRoboticsSearch Engine Optimization (SEO)+9 more
15,Android App Development,Practice Buzz,Chandigarh,PythonGitMachine LearningJSONGitHubComputer VisionREST API+4 more
16,Python Development,Jorim Technology Solutions Private Limited,Chennai                                                                (Hybrid),PythonDjangoMachine LearningREST APIFlask
17,Machine Learning,Zdminds,Work from home,PythonData AnalyticsMachine LearningR ProgrammingData ScienceNatural Language Processing (NLP)Deep Learning+1 more
18,Machine Learning,CareerNest,Work from home,PythonMachine LearningData Science
19,Python Development,Zdminds,Work from home,HTMLCSSPythonDjangoMachine LearningREST APIFlask
20,Data Analytics,Zdminds,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
21,AI Agent Development,On Demand Experts,Work from home,PythonLLMOpsLLM evaluation
22,Data Science,CareerNest,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
23,Python Development,Treviax.in,Work from home,HTMLCSSPythonDjangoMachine LearningREST APIFlask
24,Machine Learning,Treviax.in,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
25,Data Science,Zdminds,Work from home,PythonSQLData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)
26,Artificial Intelligence (AI),Zdminds,Work from home,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning
27,Python Development,Mindenious Edutech,Work from home,HTMLCSSPythonMachine Learning
28,Artificial Intelligence (AI),Stirring Minds,"Delhi, Gurgaon, Noida                                                                (Hybrid)",PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+3 more
29,AI Engineer,Clientcarex AI Private Limited,Hyderabad,Problem SolvingResearch and AnalyticsReport GenerationSelf-learningGenerative AI ToolsChatGPT
30,AI For Climate Tech,Energy Alternatives India,Chennai,BiologyMachine LearningBioinformaticsMicrobiological TechniquesNeural NetworksBusiness ResearchArtificial intelligence+1 more
31,Instructional Designer,Kalvium,Bangalore,Data StructuresMachine LearningData ScienceComputer ArchitectureOperating SystemsCybersecurityGenerative AI Tools
32,Artificial Intelligence (AI),Zoxima Solutions Private Limited,Work from home,Artificial intelligenceLangChain
33,Machine Learning,Vaibhav Wakade,"Pune, Ahmednagar, Nashik                                                                (Hybrid)",JavaScriptPythonData AnalyticsAutomationNatural Language Processing (NLP)Deep LearningBlockchain+5 more
34,Artificial Intelligence (AI),Across The Globe (ATG),Work from home,PythonData StructuresMachine LearningComputer VisionData ScienceNeural NetworksNatural Language Processing (NLP)+2 more
35,AI Engineer,Entrepreneur Growth Lab (OPC) Private Limited,Work from home,JavaJavaScriptPythonAlgorithmsMachine LearningAutomationREST API+4 more
36,AI/ML Python,Tellis Technologies Private Limited,Work from home,JavaScriptPythonMachine LearningArtificial intelligenceMERN
37,Artificial Intelligence (AI),Stirring Minds,Work from home,PythonSQLData StructuresMachine LearningData ScienceNeural NetworksRTOS+7 more
38,Software Engineering- AI Agent Integration Team,EmergentLabs,Bangalore,PythonProblem SolvingArtificial intelligenceAPIsDebuggingPrompt Engineering
39,Python Development,Scoreazy Edutech Private Limited,Work from home,PythonREST APIFastAPIOpenAI APIStreamlitPrompt Engineering
40,Quant Developer,QuantGlobal,"Delhi, Noida",PythonFinanceMongoDBMachine LearningFinancial ModelingStatisticsC++ Programming+7 more
41,AI Engineer,Sameer Khatri,Bangalore                                                                (Hybrid),PythonMachine LearningAmazon Web Services (AWS)Natural Language Processing (NLP)Artificial intelligenceGenerative AI ToolsLLMOps+1 more
42,Video Annotator,Indika AI Private Limited,Work from home,Attention to DetailTime ManagementData AnalyticsTechnical AnalysisArtificial intelligenceMachine Learning Operations (MLOps)Self-learning+2 more
43,Mechanical Engineering,Pneumatic Equipments Corporation,Kolkata,Machine Learning
44,Python Development,TwiLearn EduTech Private Limited,Work from home,HTMLCSSPythonDjangoMachine LearningREST API
45,AI Agent Development,NAVNEET TOPTECH,Mumbai,JavaScriptPythonAPIsLangChainPrompt EngineeringChatGPTLLMOps
46,Artificial Intelligence (AI),DeepThought CultureTech Ventures Private Limited,Work from home,Artificial intelligence
47,AI System Development & Automation,Fast Action Claims,Work from home,JavaPythonOpenAI APIGenerative AI ToolsChatGPT
48,Machine Learning,NoirCapial,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
49,Artificial Intelligence (AI),NoirCapial,Work from home,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more
50,Data Analytics,TwiLearn EduTech Private Limited,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
51,Video Annotator,Indika AI Private Limited,Work from home,Attention to DetailTime ManagementData AnalyticsTechnical AnalysisArtificial intelligenceMachine Learning Operations (MLOps)Self-learning+2 more
52,Mechanical Engineering,Pneumatic Equipments Corporation,Kolkata,Machine Learning
53,Python Development,TwiLearn EduTech Private Limited,Work from home,HTMLCSSPythonDjangoMachine LearningREST API
54,Artificial Intelligence (AI),OmniNeura AI Technologies Pvt Ltd,Work from home,PythonMachine LearningNatural Language Processing (NLP)Deep Learning
55,AI Agent Development,NAVNEET TOPTECH,Mumbai,JavaScriptPythonAPIsLangChainPrompt EngineeringChatGPTLLMOps
56,Artificial Intelligence (AI),DeepThought CultureTech Ventures Private Limited,Work from home,Artificial intelligence
57,AI System Development & Automation,Fast Action Claims,Work from home,JavaPythonOpenAI APIGenerative AI ToolsChatGPT
58,Machine Learning,NoirCapial,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
59,Artificial Intelligence (AI),NoirCapial,Work from home,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more
60,Data Analytics,TwiLearn EduTech Private Limited,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
62,Agentic AI,International Institute Of SDGs & Public Policy Research,Work from home,Statistical ModelingMachine LearningNeural NetworksEnglish Proficiency (Spoken)Predictive AnalyticsArtificial intelligencePython Libraries
63,AI/ML AI Agent Development,Tellis Technologies Private Limited,Work from home,JavaScriptPythonMachine LearningData ScienceReactArtificial intelligenceData Analysis+2 more
64,Machine Learning,TSTEPS PRIVATE LIMITED,"Chennai, Mumbai, Bangalore, Kerala, Puduchery                                                                (Hybrid)",PythonData AnalyticsR ProgrammingData ScienceDeep LearningArtificial intelligence
65,Python Development,TSTEPS PRIVATE LIMITED,"Chennai, Mumbai, Hyderabad, Kerala, Puduchery                                                                (Hybrid)",HTMLCSSPythonDjangoMachine Learning
66,Artificial Intelligence (AI),Sai Kalyan,Work from home,HTMLPython
67,Machine Learning Engineer - Forecasting And Buy Algorithms,Mohan Gopalakrishna,Work from home,PythonMachine LearningData Science
68,Business Research,Adrasti,Work from home,FinanceSoftware TestingAccountingMarket AnalysisMachine LearningCybersecurityArtificial intelligence+4 more
69,Artificial Intelligence (AI),SystemaOps,Work from home,Artificial intelligence
70,Intelligent Transportation Systems (ITS) Researcher,The Asian Institute Of Transport Development,Delhi,PythonTime ManagementMachine LearningProblem SolvingLiterature ReviewArtificial intelligenceEffective Communication+5 more
71,Python Development,Everything About AI,Work from home,CSSPythonMongoDBMachine LearningPostgreSQLREST APIDeep Learning+4 more
72,Neuro Technology,TSTEPS PRIVATE LIMITED,"Chennai, Madurai, Bangalore, Kerala, Andra, Puduchery                                                                (Hybrid)",Machine LearningEmbedded SystemsSignal Processing
73,AI Agent Development,Aditya Jha,Work from home,JavaScriptPythonNode.jsJSONREST APIAPIsOpenAI API+1 more
74,FPGA Developer,Vicharak Computers LLP,Surat,VLSIVerilogVHDLFPGA Synthesis and PrototypingDebugging
75,AI Agent Development,Zoxima Solutions Private Limited,Work from home,JavaScriptPythonGenerative AI Tools
76,Machine Learning,Tilak Karveran,Work from home,PythonSQLData AnalyticsMachine LearningNoSQLscikit-learnSeaborn
77,Artificial Intelligence (AI),Nobrokerage.com,Pune,JavaPythonData StructuresArtificial intelligenceJuliaOpenAI APIKeras+2 more
78,Quant Researcher,QuantGlobal,"Delhi, Ghaziabad, Greater Noida, Noida",PythonStatistical ModelingMachine LearningFinancial ModelingTableauStock TradingData Analysis+3 more
79,Quant Developer,QuantGlobal,"Delhi, Noida",PythonMongoDBMachine LearningC++ ProgrammingStock TradingAPIsProbability
80,Node.js Generative AI/ML Developer,Arakoo,Work from home,Node.jsExpress.jsTypeScriptTerraform
81,Quant Developer,AlgoBulls,Work from home,PythonGitGitHubData ScienceBashQuantitative Research
82,AI Agent Development,EshiaBIM,Ahmedabad,JSONFrontend developmentMicrosoft AzureREST APIAmazon Web Services (AWS)CI/CDFastAPI+9 more
83,AI Agent Development,Yardstick,Work from home,PythonMachine Learning
84,Data And AI Architect,Sorvanis,Work from home,PythonData AnalyticsLangChain
85,AI Agent Development,Awwgment,Work from home,PythonREST APITransformersFastAPIAPIsOpenAI APILangChain+4 more
86,LLM,Indika AI Private Limited,Delhi,MySQLPythonMachine Learning
87,Artificial Intelligence (AI),Almost Magic Private Limited,"Chandigarh, Mohali, Panchkula",PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more
88,Artificial Intelligence (AI),Pulse Labs,Work from home,MS-OfficeSoftware TestingArtificial intelligence
89,Data Labelling,Radic Advertising Private Limited,Hyderabad                                                                (Hybrid),PythonMS-ExcelJSON
90,Artificial Intelligence (AI),URE Legal Advocates,Noida,PythonMachine LearningNatural Language Processing (NLP)Deep Learning
91,AI Specialist,QuantGlobal,Noida,PythonArtificial intelligenceAPIsGenerative AI DevelopmentArtificial Intelligence Markup Language (AIML)LangChainLLMOps
92,Full Stack AI Engineer,DigiPlus IT,"Mumbai, Maharashtra",MongoDBNode.jsUI & UX DesignDockerGitHubTypeScriptDevOps+6 more
93,Artificial Intelligence (AI),Evolvra,Work from home,PythonMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep LearningArtificial intelligence
94,Software Engineer,Giddly.com,Work from home,PythonMachine LearningReact NativeGolangTypeScriptArtificial intelligence
95,Artificial Intelligence (AI),Kazunov 1AI,Work from home,PythonTensorFlowPyTorch
96,Python Development,EvoNexis,Work from home,HTMLCSSPythonDjangoMachine LearningREST APIFlask
97,Machine Learning,EvoNexis,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
98,Data Science AI&ML Python Research,Megaminds IT Services,Work from home,JavaPythonDjangoMachine LearningComputer VisionFlaskDeep Learning+9 more
99,Machine Learning,Pexaworks Technologies Private Limited,Work from home,PythonMachine LearningTensorFlowPyTorch
100,Artificial Intelligence (AI),Hubnine India Private Limited,Work from home,CSSContent WritingPythonData StructuresMachine LearningData ScienceReact+6 more
101,Artificial Intelligence (AI),Kunal Kapur,"Delhi, Gurgaon",Python
103,Inside Sales,CloudBC Labs Private Limited,Bangalore                                                                (Hybrid),Cold CallingComputer skillsLead GenerationBusiness Development
104,Generative AI Machine Learning,Arakoo,"Delhi, Noida",Python
105,AI Agent Development (Only Night Shift),Big Internet E-commerce Private Limited,Work from home,JavaScriptAmazon Web Services (AWS)APIsLangChainNestJSLLMOps
106,Mobile App Development,VigiSafeMed,Work from home,PythonMachine LearningNode.jsFlutterReact NativeiOSAndroid+1 more
107,AI/ML Dev,Trinity Packaging Co. Pvt. Ltd.,Mumbai                                                                (Hybrid),PythonDockerArtificial intelligenceAPIsLLMOps
108,Data Science,Accredian,Work from home,PythonVideo EditingSQLMachine LearningVideo MakingR ProgrammingDeep Learning+1 more
109,AI and ML Mentor,Mikado Solutions,Work from home,Machine LearningComputer VisionNeural NetworksNatural Language Processing (NLP)Artificial intelligenceGenerative AI DevelopmentLLMOps+1 more
110,Artificial Intelligence (AI),Ethical Den,Kolkata,PythonMachine LearningDeep LearningArtificial intelligence
111,Artificial Intelligence (AI),Ekam Apps,Work from home,PythonSQLNode.jsNatural Language Processing (NLP)Artificial intelligence
112,Artificial Intelligence (AI),Universal Adventures,Work from home,Artificial Intelligence Markup Language (AIML)
113,Computer Vision,Practice Buzz,Chandigarh,OpenCV
114,AI Engineer,Splashgain Technology Solutions Private Limited,Pune                                                                (Hybrid),GitHubREST APIAPIsAngularPrompt EngineeringClaudeGemini+1 more
115,Machine Learning,Infits,Work from home,PythonData AnalyticsMachine LearningProblem SolvingComputer VisionAmazon Web Services (AWS)Natural Language Processing (NLP)+1 more
116,AI Agent Development,TSTEPS PRIVATE LIMITED,"Chennai, Delhi, Hyderabad, Mumbai, Bangalore, Kerala Estate                                                                (Hybrid)",Artificial intelligenceAPIsPyTorchLLM evaluation
117,Artificial Intelligence (AI),Elementals.ai,Bangalore,Computer VisionTransformersReinforcement LearningSelf-learning
118,Artificial Intelligence (AI),Global Groupware Solutions Limited,Work from home,PythonMachine LearningArtificial intelligence
119,Big Data,TSTEPS PRIVATE LIMITED,"Chennai, Coimbatore, Delhi, Hyderabad, Mumbai, Salem, Bangalore, Kerala Estate                                                                (Hybrid)",JavaPythonSQLMachine LearningHadoopApache Spark
120,Artificial Intelligence (AI),Cosy Toys,Noida,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more
121,AI video creation,EMIAC Technologies,Jaipur,Adobe PhotoshopAdobe IllustratorFinal Cut ProCanvaCapcut
122,Technical Support,Tech Analogy,Ahmedabad,MATLABOpenCVSolidWorksClient InteractionMachine LearningTechnical SupportClient Relationship+4 more
123,Database & Storage Internals Research,Black Potato Systems,Work from home,Database Management System (DBMS)Distributed ComputingKubernetes
124,Market Research,Klearprop,Mumbai,MS-WordMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)Research and Analytics
125,Digital Marketing,EMIAC Technologies,Gopalpura,Digital MarketingLinkedIn MarketingDigital Marketing Tools
126,Agentic RAG Tools And Applications Development,FrugalX (Frugal Explorations Foundation),Work from home,JavaScriptTypeScript
127,Artificial Intelligence For Biotech For Climate (A4B4C),Energy Alternatives India,Chennai,BiologyMachine LearningBioinformaticsMicrobiological TechniquesNeural NetworksBusiness ResearchArtificial intelligence+1 more
128,E-commerce Associate,Codeous Technologies Private Limited,Work from home,MS-ExcelEffective Communication
129,Data Engineering & Analytics,Hornbill Labs Private Limited,Thiruvananthapuram,JavaScriptPythonSQLData AnalyticsNode.jsWeb developmentData Visualization+1 more
130,"Producers Assistant Residency Program: Founders Office - Research, Development And Operations (Hollywood Film)",Continuum Media,Mumbai,MS-OfficeContent WritingPythonAdobe IllustratorSQLAdobe Creative SuiteMachine Learning+7 more
132,Digital Transformation,Kores (India) Limited,Mumbai,Data InterpretationPower BIFigmaData AnalysisData Cleaning
133,AI Applications,Paracoat Products Limited,Gurgaon,MS-OfficeProject ManagementMS-PowerPointPresentation skillsData AnalyticsMS-ExcelProblem Solving+7 more
134,Field Force Transformation In Consumer Product Division,Parag Milk Foods Limited,Mumbai,MS-ExcelInterpersonal skillsEffective Communication
135,Data Science,"Mekari (Jakarta, Indonesia)",Work from home,PythonSQLData AnalyticsMachine LearningData entryData ScienceNatural Language Processing (NLP)+4 more
136,Content Development (English),Gyaan Plus Media,Bangalore,Video EditingArtificial intelligenceGoogle SheetsGenerative AI ToolsCapcutAI Video GenerationAI Image Generation+2 more
137,Financial Research ( Only For Students Planning To Study Abroad After Graduation ),HumbleWalking,Mumbai                                                                (Hybrid),Interpersonal skillsEffective Communication
138,AI Tutor,Aadi Foundation,Work from home,PythonVideo EditingVideo MakingArtificial intelligenceGenerative AI ToolsAI Video GenerationAI Image Generation+1 more
139,Tech Operations & Website (Only For Students Planning To Study Abroad),HumbleWalking,Mumbai                                                                (Hybrid),Effective Communication
140,Solution Engineer,Zext Digital LLP,Work from home,JavaScriptPythonAPIsLangChainGenerative AI ToolsLLM evaluation
141,Database Building/Management,Pune Logitech Services Pvt. Ltd.,Pune,MS-OfficeMS-WordMS-Excel
142,Python Development,Jorim Technology Solutions Private Limited,Chennai                                                                (Hybrid),PythonDjangoMachine LearningREST APIFlask
143,Full Stack Development,NDL Power Limited,Work from home,PythonASP.NETMachine LearningNode.jsMS SQL ServerAutomationReact+5 more
144,Founders Office,MARKETMAZE,Work from home,PythonDigital MarketingInterpersonal skillsEffective Communication
145,Business Strategy & Performance (CEO’s Office),Neuherbs,Noida,Presentation skillsTime ManagementAnalytical ThinkingMS-Excel
146,Market Research,Ruban Bridge Private Limited (1Bridge),Bangalore,MS-PowerPointMS-ExcelResearch and Analytics
147,Machine Learning,Zdminds,Work from home,PythonData AnalyticsMachine LearningR ProgrammingData ScienceNatural Language Processing (NLP)Deep Learning+1 more
148,Machine Learning,CareerNest,Work from home,PythonMachine LearningData Science
149,Growth Marketing,Bloomeasy AI,Work from home,Digital MarketingMarketing Strategies Marketing Campaigns Data Analysis
150,Research Analyst,JP IT STAFFING LLC,Work from home,Research and Analytics
151,Data Analytics,Zdminds,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
152,AI Agent Development,On Demand Experts,Work from home,PythonLLMOpsLLM evaluation
